Complete Class Schedule with Students:
Time Slot	Room	Course	Teacher	Students
TH 9:55 AM-12:45 PM	PK20	007028	0316015	3964186, 4002166, 4031284, 4095424, 4001999, 4091163, 4094796, 3931449, 3816108, 4152767, 3931881, 3937404, 4093973, 4277662, 3930705
T 9:10 AM-12:30 PM	GOHEP	002373	0901151	3918056, 4095703, 4174366
MWF 9:10 AM-10:00 AM	GOHEP	001164	4092864	3651465, 3692316, 3906818, 4012510, 3845742, 3863747, 4086279, 3817177, 3771747, 3774808, 4003045, 4096913, 3821088, 4000336, 4002806, 4007305, 4372039
MWF 10:10 AM-11:00 AM	CARP25	002374	0492580	4281002, 4175470, 3910503
TH 9:55 AM-12:45 PM	EHLEC	003460	3393009	3464954, 3692164, 3887957, 4095807, 4278350, 3941070, 4174392, 4175299, 4175481, 4175485, 3871577, 3901004, 3910499
MWF 9:10 AM-10:00 AM	PK227	003406	1167851	4158492, 4275431, 4280157, 4193252, 4278990, 4044450, 4092920
T 9:10 AM-12:30 PM	PK126	002433	0697660	3821162, 3930137, 3929651, 4086333, 3821116, 3671929
MWF 11:10 AM-12:00 PM	TAYF	008778	4168989	4023438, 4371952, 4372059, 3914371, 3915088, 4084615, 4086437, 4093471, 4174897, 4372224, 3913815
T 9:10 AM-12:30 PM	CARP21	013210	0031582	3934527, 3976786, 3973119, 4281409, 4093126
T 9:10 AM-12:30 PM	EHLEC	012355	4089714	3819645, 4280475, 4278991
T 9:10 AM-12:30 PM	TH129	012353	0683480	3910734, 3819372
MWF 11:10 AM-12:00 PM	DAL119	015869	0701976	3759127, 3953825, 4092928, 4095133, 4093255, 3901790, 3914814, 4095472
T 9:10 AM-12:30 PM	PK338	012354	0031756	3930831, 3797192
MWF 9:10 AM-10:00 AM	TAYSEM	010851	0207327	3821077, 3991180, 3820038, 3788990, 3716140, 3774021, 3821643, 4086223, 3790857, 4280948, 3690361
TH 9:55 AM-12:45 PM	CARP13	017127	1020104	3893220, 4000812, 4279995, 4091718, 4003177, 4165473, 3923376, 4003188, 4153748, 3817962
MWF 9:10 AM-10:00 AM	TH102	016952	4177943	3611048, 3816463, 3829442, 4001881, 3823473, 4093282, 4175360, 3973360, 4262071, 4129521, 3687862, 3818675, 3816708, 3678357, 3910648, 3708638, 4175546, 3910493
TH 9:55 AM-12:45 PM	TAYF	015500	0695890	3824908, 4094613, 4175373, 4000483, 3768356, 3855583, 3910576, 3910656, 3988063, 4086317, 4086424, 4175551, 4003415, 4175531, 4086254
MWF 10:10 AM-11:00 AM	PK336	014537	4170914	3816466
MWF 11:10 AM-12:00 PM	DAL315	016832	3995790	3818676, 3792406, 3821116, 3910586, 3975519, 4093416
